domain,is_file_found,is_file_valid,http_status,acknowledgments,canonical,contact,encryption,expires,hiring,policy,preferred_languages,errors
finlaygow.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://finlaygow.co.uk/.well-known/security.txt"": dial tcp: lookup finlaygow.co.uk on 1.1.1.1:53: no such host"
hydra-ahl.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hydra-ahl.com/.well-known/security.txt"": dial tcp: lookup hydra-ahl.com on 1.1.1.1:53: no such host"
theadeptway.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://theadeptway.com/.well-known/security.txt"": dial tcp: lookup theadeptway.com on 1.1.1.1:53: no such host"
galileofs.co.im,false,false,0,,,,,,,,,"HTTP response error: Get ""https://galileofs.co.im/.well-known/security.txt"": dial tcp: lookup galileofs.co.im on 1.1.1.1:53: no such host"
cedar-tm.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cedar-tm.com/.well-known/security.txt"": EOF"
sutherlandstrategy.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sutherlandstrategy.co.uk/.well-known/security.txt"": dial tcp: lookup sutherlandstrategy.co.uk on 1.1.1.1:53: no such host"
pricebertramdale.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://pricebertramdale.com/.well-known/security.txt"": remote error: tls: handshake failure"
nwtgroup.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nwtgroup.co.uk/.well-known/security.txt"": dial tcp: lookup nwtgroup.co.uk on 1.1.1.1:53: no such host"
fsas-scotland.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://fsas-scotland.co.uk/.well-known/security.txt"": dial tcp: lookup fsas-scotland.co.uk on 1.1.1.1:53: no such host"
sterling-int.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sterling-int.co.uk/.well-known/security.txt"": dial tcp: lookup sterling-int.co.uk on 1.1.1.1:53: no such host"
tddirectinvesting.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://tddirectinvesting.co.uk/.well-known/security.txt"": dial tcp: lookup tddirectinvesting.co.uk on 1.1.1.1:53: no such host"
pelhambellpottinger.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://pelhambellpottinger.co.uk/.well-known/security.txt"": dial tcp: lookup pelhambellpottinger.co.uk on 1.1.1.1:53: no such host"
jordanbank.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://jordanbank.co.uk/.well-known/security.txt"": EOF"
rowlandsaccountants.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://rowlandsaccountants.co.uk/.well-known/security.txt"": dial tcp: lookup rowlandsaccountants.co.uk on 1.1.1.1:53: no such host"
eabplc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://eabplc.com/.well-known/security.txt"": EOF"
perperitus.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://perperitus.com/.well-known/security.txt"": dial tcp: lookup perperitus.com on 1.1.1.1:53: no such host"
persiabank.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://persiabank.co.uk/.well-known/security.txt"": EOF"
buttonwood-tree.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://buttonwood-tree.com/.well-known/security.txt"": dial tcp: lookup buttonwood-tree.com on 1.1.1.1:53: no such host"
xenfin.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://xenfin.com/.well-known/security.txt"": EOF"
rutherfordonline.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://rutherfordonline.co.uk/.well-known/security.txt"": dial tcp: lookup rutherfordonline.co.uk on 1.1.1.1:53: no such host"
biddicks.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://biddicks.co.uk/.well-known/security.txt"": dial tcp: lookup biddicks.co.uk on 1.1.1.1:53: no such host"
echm.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://echm.co.uk/.well-known/security.txt"": dial tcp: lookup echm.co.uk on 1.1.1.1:53: no such host"
bandbstructuredfinance.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bandbstructuredfinance.com/.well-known/security.txt"": dial tcp: lookup bandbstructuredfinance.com on 1.1.1.1:53: no such host"
advantagetr.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://advantagetr.co.uk/.well-known/security.txt"": dial tcp: lookup advantagetr.co.uk on 1.1.1.1:53: no such host"
corven.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://corven.com/.well-known/security.txt"": dial tcp: lookup corven.com on 1.1.1.1:53: no such host"
ipsolenergy.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ipsolenergy.com/.well-known/security.txt"": dial tcp: lookup ipsolenergy.com on 1.1.1.1:53: no such host"
dennisgemmill.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://dennisgemmill.com/.well-known/security.txt"": dial tcp: lookup dennisgemmill.com on 1.1.1.1:53: no such host"
cityanalytica.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cityanalytica.com/.well-known/security.txt"": dial tcp: lookup cityanalytica.com on 1.1.1.1:53: no such host"
mgcapital.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://mgcapital.co.uk/.well-known/security.txt"": dial tcp: lookup mgcapital.co.uk on 1.1.1.1:53: no such host"
essentiallyprofessionalservices.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://essentiallyprofessionalservices.com/.well-known/security.txt"": dial tcp: lookup essentiallyprofessionalservices.com on 1.1.1.1:53: no such host"
nwes.org.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nwes.org.uk/.well-known/security.txt"": EOF"
fgenergymc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://fgenergymc.com/.well-known/security.txt"": dial tcp: lookup fgenergymc.com on 1.1.1.1:53: no such host"
genesisassociates.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://genesisassociates.co.uk/.well-known/security.txt"": EOF"
kbcfp.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://kbcfp.com/.well-known/security.txt"": dial tcp: lookup kbcfp.com on 1.1.1.1:53: no such host"
hnhpartners.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hnhpartners.co.uk/.well-known/security.txt"": dial tcp: lookup hnhpartners.co.uk on 1.1.1.1:53: no such host"
machlin-oracle.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://machlin-oracle.com/.well-known/security.txt"": dial tcp: lookup machlin-oracle.com on 1.1.1.1:53: no such host"
smbcnikko-cm.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://smbcnikko-cm.com/.well-known/security.txt"": dial tcp: lookup smbcnikko-cm.com on 1.1.1.1:53: no such host"
boyden-financial.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://boyden-financial.co.uk/.well-known/security.txt"": dial tcp: lookup boyden-financial.co.uk on 1.1.1.1:53: no such host"
bxrgroup.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bxrgroup.com/.well-known/security.txt"": http: server gave HTTP response to HTTPS client"
castlecourtwealth.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://castlecourtwealth.co.uk/.well-known/security.txt"": dial tcp: lookup castlecourtwealth.co.uk on 1.1.1.1:53: no such host"
nmhsearch.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nmhsearch.com/.well-known/security.txt"": dial tcp: lookup nmhsearch.com on 1.1.1.1:53: no such host"
michelangelo.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://michelangelo.co.uk/.well-known/security.txt"": dial tcp: lookup michelangelo.co.uk on 1.1.1.1:53: no such host"
armstrongint.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://armstrongint.com/.well-known/security.txt"": dial tcp: lookup armstrongint.com on 1.1.1.1:53: no such host"
capitafinancial.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://capitafinancial.com/.well-known/security.txt"": dial tcp: lookup capitafinancial.com on 1.1.1.1:53: no such host"
mcenergygroup.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://mcenergygroup.com/.well-known/security.txt"": remote error: tls: handshake failure"
clarat-partners.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://clarat-partners.com/.well-known/security.txt"": EOF"
pwc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://pwc.com/.well-known/security.txt"": EOF"
dunelmia.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://dunelmia.com/.well-known/security.txt"": dial tcp: lookup dunelmia.com on 1.1.1.1:53: no such host"
ellamfinancial.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ellamfinancial.co.uk/.well-known/security.txt"": dial tcp: lookup ellamfinancial.co.uk on 1.1.1.1:53: no such host"
agmpartners.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://agmpartners.com/.well-known/security.txt"": EOF"
752solutions.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://752solutions.com/.well-known/security.txt"": EOF"
horton-intl.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://horton-intl.com/.well-known/security.txt"": remote error: tls: internal error"
coulterpartners.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://coulterpartners.com/.well-known/security.txt"": EOF"
wingrave.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://wingrave.co.uk/.well-known/security.txt"": EOF"
jewsonassociates.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://jewsonassociates.com/.well-known/security.txt"": dial tcp: lookup jewsonassociates.com on 1.1.1.1:53: no such host"
alburaq.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://alburaq.co.uk/.well-known/security.txt"": dial tcp: lookup alburaq.co.uk on 1.1.1.1:53: no such host"
echelonllp.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://echelonllp.com/.well-known/security.txt"": dial tcp: lookup echelonllp.com on 1.1.1.1:53: no such host"
capitalmsl.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://capitalmsl.com/.well-known/security.txt"": dial tcp: lookup capitalmsl.com on 1.1.1.1:53: no such host"
jandab.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://jandab.co.uk/.well-known/security.txt"": EOF"
westhallcapital.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://westhallcapital.co.uk/.well-known/security.txt"": dial tcp: lookup westhallcapital.co.uk on 1.1.1.1:53: no such host"
reochcredit.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://reochcredit.com/.well-known/security.txt"": dial tcp: lookup reochcredit.com on 1.1.1.1:53: no such host"
ibb.ubs.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ibb.ubs.com/.well-known/security.txt"": dial tcp: lookup ibb.ubs.com on 1.1.1.1:53: no such host"
martonhouse.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://martonhouse.co.uk/.well-known/security.txt"": http: server gave HTTP response to HTTPS client"
gordonbrotherseurope.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://gordonbrotherseurope.com/.well-known/security.txt"": EOF"
liquidcapital.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://liquidcapital.com/.well-known/security.txt"": dial tcp: lookup liquidcapital.com on 1.1.1.1:53: no such host"
akkadiapartners.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://akkadiapartners.com/.well-known/security.txt"": dial tcp: lookup akkadiapartners.com on 1.1.1.1:53: no such host"
oraca.net,false,false,0,,,,,,,,,"HTTP response error: Get ""https://oraca.net/.well-known/security.txt"": EOF"
armadillo-uk.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://armadillo-uk.com/.well-known/security.txt"": dial tcp: lookup armadillo-uk.com on 1.1.1.1:53: no such host"
sunrisebrokers.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sunrisebrokers.com/.well-known/security.txt"": remote error: tls: handshake failure"
acfplc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://acfplc.com/.well-known/security.txt"": dial tcp: lookup acfplc.com on 1.1.1.1:53: no such host"
axiomcapital.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://axiomcapital.co.uk/.well-known/security.txt"": EOF"
edmond-de-rothschild.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://edmond-de-rothschild.co.uk/.well-known/security.txt"": dial tcp: lookup edmond-de-rothschild.co.uk on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
btg-restructuring.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://btg-restructuring.com/.well-known/security.txt"": dial tcp: lookup btg-restructuring.com on 1.1.1.1:53: no such host"
uk.mizuho-sc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://uk.mizuho-sc.com/.well-known/security.txt"": dial tcp: lookup uk.mizuho-sc.com on 1.1.1.1:53: no such host"
marshallsecurities.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://marshallsecurities.com/.well-known/security.txt"": dial tcp: lookup marshallsecurities.com on 1.1.1.1:53: no such host"
calderca.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://calderca.com/.well-known/security.txt"": dial tcp: lookup calderca.com on 1.1.1.1:53: no such host"
